County,State,Sale Type,Platform,Auction Registration URL,2026 Sale Date / Window,Format,Notes,Source URL,Auction Date
Siskiyou,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/SiskiyouMay26,"May 8–11, 2026 (re-offer June 12–15, 2026)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-06-15
Stanislaus,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/StanislausMay26,"May 18–20, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-05-20
Tuolumne,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/TuolumneMay26,"May 8–11, 2026 (re-offer June 12–15, 2026)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-06-15
Ventura,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/VenturaCAMar26,"May 8–12, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-05-12
Yolo,CA,Tax-defaulted property (deed),Bid4Assets,https://www.bid4assets.com/storefront/YoloMay26,"May 15–18, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-05-18
Douglas,CO,Tax lien certificate,"Zeus Auction (zeusauction.com, via SRI Inc.)","https://www.zeusauction.com (Douglas County, CO sale)",Early November 2026 (exact date TBD as of search),Online,Premium-bid auction; Treasurer's Deed eligible 3 years after sale if unredeemed.,https://www.douglasco.gov/treasurer/tax-lien-sale-information/,
Gilpin,CO,Tax lien certificate,Zeus Auction (zeusauction.com),"https://www.zeusauction.com (Gilpin County, CO sale)","Registration/research Oct 13–Nov 16, 2026; bidding Nov 17–19, 2026",Online,No deposit required at registration; premium bids are not returned or interest-bearing.,https://gilpincounty.colorado.gov/elected-officials/treasurer/tax-lien-sale,2026-11-19
Jefferson,CO,Tax lien certificate,Online county portal,https://www.jeffco.us/2432/Pre-Sale-Procedures (links to county's online bidding portal),November 2026 (exact date TBD as of search),Online,List of available liens published on county treasurer site ~3 weeks before sale in downloadable spreadsheet format.,https://www.jeffco.us/2432/Pre-Sale-Procedures,
Larimer,CO,Tax lien certificate,In-person (Larimer County Fairgrounds),In-person only — no online registration; see https://www.larimer.gov/treasurer/thirdparty/liens/sale,"November 19, 2026",In-person,"2025 rate was 14% (9 points above federal discount rate); 2026 rate set Sept 1, 2026. Premium bidding applies to delinquent amounts ≥$5,000.",https://www.larimer.gov/treasurer/thirdparty/liens/sale,2026-11-19
Alachua,FL,Tax lien certificate,LienHub,https://lienhub.com/county/alachua/certsale/main,"Annual sale, on or before June 1 (exact 2026 date not separately confirmed)",Online,Listed in FL DOR's 2026 statewide tax certificate sale document.,https://floridarevenue.com/property/Documents/2026TaxCertSale.pdf,
Miami-Dade,FL,Tax lien certificate,LienHub,https://lienhub.com/county/miamidade/certsale/main,"Bidding window opens ~May 11, 2026 and runs 23 days",Online,Largest FL county by lien volume (~$270M certificates/year per third-party estimate); heavily institutional.,https://lienhub.com/county/miamidade/certsale/main,2026-05-11
Orange,FL,Tax lien certificate,LienHub,https://lienhub.com/county/orange/certsale/main,"June 1, 2026, 8:00am–4:00pm (continues until all sold)",Online,"Over 19,000 tax-delinquent parcels typically listed; high institutional competition.",https://www.octaxcol.com/taxes/about-property-tax/tax-certificate-deed-sales/,2026-06-01
Pinellas,FL,Tax lien certificate,LienHub,https://lienhub.com (Pinellas County sale; registers via LienHub),"Annual sale, on or before June 1, 2026",Online,Unsold certificates struck to the county; county-held certs become purchasable starting first business day of September.,https://pinellastaxcollector.gov/property-tax/tax-certificate-and-tax-deed/,2026-06-01
Santa Rosa,FL,Tax lien certificate,LienHub,https://lienhub.com/county/santarosa/certsale/main,05/12/2026,Online,Sourced from FL Dept. of Revenue 2026 statewide tax certificate sale contact list.,https://floridarevenue.com/property/Documents/2026TaxCertSale.pdf,2026-05-12
Sarasota,FL,Tax lien certificate,LienHub (migrated from RealAuction for 2026),https://lienhub.com/county/Sarasota,"Bidding accepted through June 1, 2026; certificates awarded 10am ET June 1, 2026",Online,Bidders previously on RealAuction were auto-transferred to LienHub for 2026.,https://www.scgov.net/Home/Components/News/News/8946/,2026-06-01
Seminole,FL,Tax lien certificate,LienHub,https://lienhub.com/county/seminole/certsale/main,05/11/2026,Online,Sourced from FL Dept. of Revenue 2026 statewide tax certificate sale contact list.,https://floridarevenue.com/property/Documents/2026TaxCertSale.pdf,2026-05-11
St. Johns,FL,Tax lien certificate,Zeus Auction,https://sjctax.us/tax-certificate-sales/,05/29/2026,Online,One of the few FL counties running its own platform rather than LienHub/RealAuction.,https://floridarevenue.com/property/Documents/2026TaxCertSale.pdf,2026-05-29
St. Lucie,FL,Tax lien certificate,LienHub,https://lienhub.com/county/stlucie/certsale/main,05/01/2026,Online,Sourced from FL Dept. of Revenue 2026 statewide tax certificate sale contact list.,https://floridarevenue.com/property/Documents/2026TaxCertSale.pdf,2026-05-01
Sumter,FL,Tax lien certificate,LienHub,https://lienhub.com/county/sumter/certsale/main,05/06/2026,Online,Sourced from FL Dept. of Revenue 2026 statewide tax certificate sale contact list.,https://floridarevenue.com/property/Documents/2026TaxCertSale.pdf,2026-05-06
Suwannee,FL,Tax lien certificate,RealTaxLien (RealAuction),https://suwanneefl.realtaxlien.com/,05/13/2026,Online,Smaller rural county still on RealAuction's RealTaxLien product rather than LienHub.,https://floridarevenue.com/property/Documents/2026TaxCertSale.pdf,2026-05-13
Athens-Clarke,GA,Sheriff's tax deed sale,In-person (courthouse),"In front of the courthouse, Athens-Clarke County","First Tuesday of the month, 10am",In-person,Tax commissioner is designated ex officio sheriff for conducting tax sales in this consolidated city-county.,https://www.accgov.com/1719/Tax-Sales,
Camden,GA,Sheriff's tax deed sale,In-person (courthouse steps),Camden County Courthouse,"First Tuesday of any scheduled month, 12 noon",In-person,Standard GA structure: opening bid = tax due + penalties/fees.,https://www.camdencountyga.gov/88/Tax-Sale-Date,
Chatham,GA,Sheriff's/Judicial tax deed sale,In-person (Savannah Civic Center),"301 W. Oglethorpe Ave, Savannah, GA, Bryan Meeting Room",First Tuesday of the month at 10am when scheduled,In-person,"Begins with Judicial Sale (when held), followed by Sheriff's Sale.",https://tax.chathamcountyga.gov/TaxSaleList,
Cobb,GA,Sheriff's tax deed sale (non-judicial),In-person (Superior Court Plaza),"Corner of Haynes St and Washington Ave, Marietta, GA","May 5, 2026 and November 3, 2026 (non-judicial sales)","In-person, pre-registration required per sale","Redemption premium: 20% first year/fraction, 10% each additional year, plus sheriff/advertising costs.",https://www.cobbtax.gov/property/tax_sale/index.php,2026-11-03
Fulton,GA,Sheriff's tax deed sale,In-person (county-run),"Courthouse steps, 136 Pryor St SW, Atlanta, GA 30303","First Tuesday of each month, 10am–4pm (no July 2026 sale)",In-person,"12-month redemption with 20% premium for first year, 10% per additional year, plus sheriff/advertising costs.",https://fultoncountyga.gov/inside-fulton-county/fulton-county-departments/sheriff/tax-sales,
Iowa,IA,Tax lien certificate,County-run (per Iowa Code Ch. 446),iowacounty.iowa.gov/treasurer (registration details posted by county),"Third Monday of June, 2026 (statewide statutory date)",Confirm online vs in-person with county,Iowa's statewide statutory tax sale date is the third Monday in June for all counties under Iowa Code Chapter 446.,https://iowacounty.iowa.gov/treasurer/tax_sale/,
Polk,IA,Tax lien certificate,GovEase,"https://www.govease.com (register, then select Polk County, IA)","June 15, 2026, 8:00am–11:00am (approx.); adjourned sales monthly through May 2026 cycle if parcels remain",Online,"Statutory 2% per month redemption penalty (24% annualized); last day to pay before sale is June 11, 2026.",https://www.polkcountyiowa.gov/treasurer/,2026-06-15
Allen,IN,Tax lien certificate,GovEase,"https://www.govease.com (register, then select Allen County, IN)",Confirm current year date with county auditor's office,Online,"W-9 form required, uploaded directly through GovEase registration.",https://www.allencounty.in.gov/321/Tax-Sale,
Hamilton,IN,Tax lien certificate,SRI Inc. (sriservices.com),https://www.sriservices.com,"October 8, 2026, 10:00am","In-person, 33 N 9th St, Noblesville, IN, Second Floor Historic Courtroom",Owner must file surplus funds claim within 3 years of sale date.,https://www.hamiltoncounty.in.gov/452/Real-Property-Tax-Sale,2026-10-08
Hancock,IN,Tax lien certificate,"Zeus Auction (zeusauction.com, via SRI Inc.)",http://zeusauction.com/,"September 18, 2026, 10:00am EST","Online, batch closings",Winning bidder receives a lien certificate entitling them to request a tax deed after redemption period expires; no right to enter property during redemption.,https://www.hancockin.gov/606/Tax-Sale,2026-09-18
Marion,IN,Tax lien certificate,GovEase,"https://www.govease.com (register, then select Marion County, IN)","October 13–16, 2026, 9:00am–4:00pm (continuous flow, numeric order)",Online,"Non-profit portion of sale runs first, then regular portion; $2,500 deposit required for regular portion. 25% penalty if account not satisfied by 4:30pm Oct 13.",https://www.indy.gov/activity/prepare-for-a-tax-sale,2026-10-16
Fayette,KY,Certificate of Delinquency (tax lien),County clerk-run (in-person),"Fayette County Clerk's office, (859) 253-3344","Held each summer (statewide window: any business day July 14–Aug 28, 2026 per KY statute)",In-person,Sheriff's Office no longer conducts the sale — statutory change shifted this responsibility entirely to the County Clerk.,https://www.fayettesheriff.com/?page_id=2190,2026-08-28
Jefferson,KY,Certificate of Delinquency (tax lien),"In-person (county clerk-run, priority/lottery list draw)",Registration forms and bill-submission template at jeffersoncountyclerk.org; must also register with KY Dept. of Revenue 60+ days prior,"July 17, 2026, 3:00pm, Room 106, Metro Hall, 527 W Jefferson St, Louisville, KY","In-person, lottery/priority draw format",12% annual interest on the certificate; 25% deposit required with bill list submission; registration fees $5–$10 per bill depending on priority vs. lottery list.,https://www.jeffersoncountyclerk.org/jefferson-county-delinquent-property-listing/,2026-07-17
Douglas,NE,Tax lien certificate,RealAuction,Public Auction Site (RealAuction) — see treasurer.douglascounty-ne.gov/public-tax-sale/,"First Monday in March, 2026 (statewide statutory pattern)",Public auction (online via RealAuction) plus a separate year-round Private Tax Sale by mail/in-person,3-year redemption period; Private Tax Sale lets registered bidders buy remaining certificates directly after the public sale concludes.,https://treasurer.douglascounty-ne.gov/public-tax-sale/,
Lancaster,NE,Tax lien certificate,In-person (round robin format),"Forms at lancaster.ne.gov/treasurer; registration packet due by Feb 23, 2026 for advance processing","March 2, 2026, 9:00am","In-person, round-robin/order-number format",$25 non-refundable registration fee per entity; one person may now represent unlimited entities under recent rule change.,https://www.lancaster.ne.gov/444/Tax-Sale-Information,2026-03-02
Oklahoma,OK,"County resale (deed, fee simple)",In-person (county-run),Oklahoma County Treasurer's office,"Resale auction commences June 8, 2026, 8:00am; pay by 5pm June 5, 2026 to be removed from list",In-person,Successful purchaser receives fee simple title via Resale Deed — no certificate/lien stage as in true lien states.,https://www.oklahomacounty.org/elected-offices/treasurer,2026-06-05
Tulsa,OK,"County resale (deed, fee simple)",In-person (county-run),"treasurer.tulsacounty.org — pre-registration at Treasurer's office from ~May 15, 2026","Second Monday of June, 2026 (continues day-to-day until complete)","In-person, 218 W. 6th St, 8th Floor, Tulsa, OK","Averages 475–500 properties auctioned per year; non-US-citizen individuals cannot bid (Oklahoma Constitution Art. 22 §1), though qualifying business entities can.",https://www2.tulsacounty.org/treasurer/properties-for-sale/june-real-estate-auction/,
Charleston,SC,Delinquent tax sale (deed),In-person (North Charleston Coliseum),"5001 Coliseum Dr, North Charleston, SC","Main sale historically early December; 2026 Sealed Bid Sale window Jan 26–Feb 20, 2026",In-person (main sale); sealed bid for unsold Forfeited Land Commission properties,Cash no longer accepted as of recent policy change; one year and one day redemption period.,https://www.charlestoncounty.gov/departments/delinquent-tax/tax-sale.php,2026-02-20
Greenville,SC,Delinquent tax sale (deed),In-person (Greenville Convention Center),"1 Exposition Dr, Greenville, SC 29607","Annual sale, exact 2026 date set after 3-week advertising period","In-person, open auction, no registration needed for sale day",Failure to pay results in $500 fine and disqualification from future Greenville County tax sales.,https://www.greenvillecounty.org/taxcollector/TaxSaleProcedures.aspx,
Dallas,TX,Tax foreclosure sale (deed),"County-coordinated via delinquent tax law firm (e.g., Linebarger)",https://taxsales.lgbs.com/ (Dallas County sales coordinated via Linebarger Goggan Blair & Sampson),First Tuesday of the month (statewide TX pattern); confirm exact 2026 dates with the county,In-person (courthouse steps),High-volume metro county; Texas's redeemable-deed structure gives owners 6 months (most property) to 2 years (homestead/ag/mineral) to redeem.,https://taxsales.lgbs.com/,
Harris,TX,Tax foreclosure sale (deed),"County-coordinated via delinquent tax law firm (e.g., Linebarger)",No single confirmed URL — coordinated via delinquent tax law firm; check county tax office for current firm/portal,First Tuesday of the month (statewide TX pattern); confirm exact 2026 dates with the county,"In-person, Harris County Civil Courthouse, 201 Caroline St, Houston",Texas runs sales on the first Tuesday of each month statewide; Harris County sees high volume.,https://liensuite.com/blog/texas-tax-sale-schedule-2026,
Clark,WA,Tax-foreclosed property (deed),Bid4Assets,https://www.bid4assets.com/storefront/ClarkWAFeb26,"February 10–11, 2026",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-02-11
King,WA,Tax-foreclosed property (deed),Bid4Assets,https://www.bid4assets.com/storefront/KingCountyRESDec25REOFFER,"December 17, 2026 (Tax Title re-offer)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-12-17
Pierce,WA,Tax-foreclosed property (deed),Bid4Assets,https://www.bid4assets.com/county-tax-sales (specific storefront link not yet published),"October 26–27, 2026 (tax title); November 9–10, 2026 (tax-defaulted)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-11-10
Spokane,WA,Tax-foreclosed property (deed),Bid4Assets,https://www.bid4assets.com/storefront/SpokaneDec25Reoffer,"December 17, 2026 (re-offer)",Online,Pulled directly from Bid4Assets' live published 2026 county tax sale calendar.,https://www.bid4assets.com/county-tax-sales,2026-12-17
